2026-03-13 14:05:43,622 | INFO | workflow.wiki_index.built | {"wiki_dir":"domain/ad_engine/wiki","file_count":7,"chunk_count":13,"default_top_k":4,"max_chunks_per_doc":1,"hybrid_weights":{"bm25":0.5,"vector":0.35,"lexical":0.15,"source":"default"},"latency_ms":1229}
2026-03-13 14:05:43,633 | INFO | workflow.code_index.built | {"code_dirs":["D:\\codes\\dsp_agent\\domain\\ad_engine\\codes"],"scanned_file_count":5,"indexed_file_count":5,"parent_chunk_count":22,"child_chunk_count":27,"read_error_count":0,"latency_ms":10}
2026-03-13 14:05:43,653 | INFO | workflow.service.initialized | {"backend":"langgraph","domain_profile":"ad_engine","domain_display_name":"广告引擎","debug_verbose_enabled":false,"logger_status":{"enabled":true,"active":true,"level":"INFO","path":"D:\\codes\\dsp_agent\\logs\\workflow.log","init_error":null},"wiki_dir":"D:\\codes\\dsp_agent\\domain\\ad_engine\\wiki","code_dirs":["D:\\codes\\dsp_agent\\domain\\ad_engine\\codes"],"checkpointer_type":"InMemorySaver"}
2026-03-13 14:05:43,657 | INFO | workflow.wiki_index.built | {"wiki_dir":"domain/ad_engine/wiki","file_count":7,"chunk_count":13,"default_top_k":4,"max_chunks_per_doc":1,"hybrid_weights":{"bm25":0.5,"vector":0.35,"lexical":0.15,"source":"default"},"latency_ms":1239}
2026-03-13 14:05:43,668 | INFO | workflow.code_index.built | {"code_dirs":["D:\\codes\\dsp_agent\\domain\\ad_engine\\codes"],"scanned_file_count":5,"indexed_file_count":5,"parent_chunk_count":22,"child_chunk_count":27,"read_error_count":0,"latency_ms":10}
2026-03-13 14:05:43,684 | INFO | workflow.service.initialized | {"backend":"langgraph","domain_profile":"ad_engine","domain_display_name":"广告引擎","debug_verbose_enabled":false,"logger_status":{"enabled":true,"active":true,"level":"INFO","path":"D:\\codes\\dsp_agent\\logs\\workflow.log","init_error":null},"wiki_dir":"D:\\codes\\dsp_agent\\domain\\ad_engine\\wiki","code_dirs":["D:\\codes\\dsp_agent\\domain\\ad_engine\\codes"],"checkpointer_type":"InMemorySaver"}
2026-03-13 14:05:43,684 | INFO | observability.store.disabled | {"reason":"config_disabled"}
2026-03-13 14:05:43,685 | INFO | session.store.disabled | {"reason":"config_disabled"}
2026-03-13 14:05:43,685 | INFO | api.service.initialized | {"workflow_backend":"langgraph","session_store":{"enabled":false,"active":false,"schema":"public","dsn_configured":false,"init_error":null},"observability":{"enabled":false,"active":false,"schema":"public","dsn_configured":false,"init_error":null},"runtime_logging":{"enabled":true,"active":true,"level":"INFO","path":"D:\\codes\\dsp_agent\\logs\\workflow.log","init_error":null}}
2026-03-13 14:10:23,484 | INFO | workflow.wiki_index.built | {"wiki_dir":"domain/ad_engine/wiki","file_count":7,"chunk_count":13,"default_top_k":4,"max_chunks_per_doc":1,"hybrid_weights":{"bm25":0.5,"vector":0.35,"lexical":0.15,"source":"default"},"latency_ms":1785}
2026-03-13 14:10:23,508 | INFO | workflow.code_index.built | {"code_dirs":["D:\\codes\\dsp_agent\\domain\\ad_engine\\codes"],"scanned_file_count":5,"indexed_file_count":5,"parent_chunk_count":22,"child_chunk_count":27,"read_error_count":0,"latency_ms":22}
2026-03-13 14:10:23,536 | INFO | workflow.service.initialized | {"backend":"langgraph","domain_profile":"ad_engine","domain_display_name":"广告引擎","debug_verbose_enabled":false,"logger_status":{"enabled":true,"active":true,"level":"INFO","path":"D:\\codes\\dsp_agent\\logs\\workflow.log","init_error":null},"wiki_dir":"D:\\codes\\dsp_agent\\domain\\ad_engine\\wiki","code_dirs":["D:\\codes\\dsp_agent\\domain\\ad_engine\\codes"],"checkpointer_type":"InMemorySaver"}
2026-03-13 14:10:23,536 | INFO | observability.store.disabled | {"reason":"config_disabled"}
2026-03-13 14:10:23,537 | INFO | session.store.disabled | {"reason":"config_disabled"}
2026-03-13 14:10:23,537 | INFO | api.service.initialized | {"workflow_backend":"langgraph","session_store":{"enabled":false,"active":false,"schema":"public","dsn_configured":false,"init_error":null},"observability":{"enabled":false,"active":false,"schema":"public","dsn_configured":false,"init_error":null},"runtime_logging":{"enabled":true,"active":true,"level":"INFO","path":"D:\\codes\\dsp_agent\\logs\\workflow.log","init_error":null}}
